R2-Score	Word2vec	BOW-TFIDF	Simple encoder-decoder	Google universal encoder 	Skip-Thoughts	InferSent
Digitonomy_2018-06-01_2018-06-30.csv	-0.0014	0.0049	0.0161	-0.0044	-0.007	0.0154
HP_2018-06-24_2018-07-23.csv 	0.0073	0.0012	0.0068	0.006	0.0086	0.0062
Blackhawk Network_2018-06-24_2018-07-23.csv 	-0.0008	-0.0003	-0.0001	-0.0002	-6.15	-0.0011
HPE_2018-06-25_2018-07-24.csv 	-12.7844	-10.8703	-16.4396	-12.4556	-47.5681	-15.8129
Samsung_2018-06-25_2018-07-24.csv 	0.0181	-0.0005	0.0246	0.0171	-0.0004	0.0187
Serenata Flowers_2018-06-25_2018-07-24.csv	0.0323	0.003	-0.0042	0.0175	-0.0634	0.0328
Snooze_2018-06-25_2018-07-24.csv 	-0.1723	-0.1307	-0.2092	-0.1588	-0.2622	-0.2559
Subaru_2018-06-25_2018-07-24.csv 	-7.4398	-7.2607	-7.4264	-6.9148	-7.9651	-7.038
The Holiday Place_2018-06-25_2018-07-24.csv 	0.0493	0.0241	0.007	0.036	-0.0026	0.0452
Zalora HK_2018-06-25_2018-07-24.csv	0.0024	0.0015	0.0172	0.0069	0.0015	0.0059
Hertz_2018-06-25_2018-07-24.csv 	-6.1661	-3.3773	-6.1732	-10.3683	-29.0674	-5.2462
IAG_2018-06-24_2018-07-23.csv 	0.1002	0.0412	-0.0338	0.1069	-0.0001	0.0648
Hello Fresh_2018-01-01_2018-07-05.csv 	0.0571	-0.0398	0.0009	0.0432	0.0042	0.0639
Wargaming_2018-06-25_2018-07-24.csv 	0.0298	-0.0229	-0.0225	0.0279	-0.0267	0.0196
